"Subj","ItemNo","Scenario","Answer","AnswerTimes","Item","Condition"
"subj03",8,"first-item1-d-move-a","ani jeden",29043,"item1","d"
"subj04",8,"first-item1-d-move-a","levý",33446,"item1","d"
"subj07",8,"first-item1-d-move-a","levý",55014,"item1","d"
"subj20",8,"first-item1-d-move-a","levý",74390,"item1","d"
"subj27",8,"first-item1-d-move-a","levý",9926,"item1","d"
"subj31",8,"first-item1-d-move-a","ani jeden",120542,"item1","d"
"subj32",8,"first-item1-d-move-a","levý",49953,"item1","d"
"subj05",9,"first-item1-d-move-abar","levý",40771,"item1","d"
"subj08",9,"first-item1-d-move-abar","ani jeden",26923,"item1","d"
"subj09",9,"first-item1-d-move-abar","levý",47839,"item1","d"
"subj12",9,"first-item1-d-move-abar","ani jeden",48019,"item1","d"
"subj13",9,"first-item1-d-move-abar","levý",75144,"item1","d"
"subj19",9,"first-item1-d-move-abar","ani jeden",59074,"item1","d"
"subj21",9,"first-item1-d-move-abar","levý",66765,"item1","d"
"subj24",9,"first-item1-d-move-abar","pravý",30973,"item1","d"
"subj25",9,"first-item1-d-move-abar","levý",75639,"item1","d"
"subj36",9,"first-item1-d-move-abar","levý",42348,"item1","d"
"subj01",6,"first-item1-d-ref","levý",9475,"item1","d"
"subj02",6,"first-item1-d-ref","levý",6541,"item1","d"
"subj06",6,"first-item1-d-ref","ani jeden",76500,"item1","d"
"subj10",6,"first-item1-d-ref","levý",40809,"item1","d"
"subj11",6,"first-item1-d-ref","levý",45191,"item1","d"
"subj14",6,"first-item1-d-ref","levý",54213,"item1","d"
"subj17",6,"first-item1-d-ref","levý",43098,"item1","d"
"subj18",6,"first-item1-d-ref","levý",19752,"item1","d"
"subj29",6,"first-item1-d-ref","levý",45755,"item1","d"
"subj33",6,"first-item1-d-ref","levý",29251,"item1","d"
"subj37",6,"first-item1-d-ref","levý",27076,"item1","d"
"subj22",7,"first-item1-d-svo","levý",27133,"item1","d"
"subj23",7,"first-item1-d-svo","levý",46780,"item1","d"
"subj26",7,"first-item1-d-svo","levý",37458,"item1","d"
"subj30",7,"first-item1-d-svo","levý",39374,"item1","d"
"subj38",7,"first-item1-d-svo","levý",27367,"item1","d"
"subj22",44,"first-item10-nd-move-a","levý",21557,"item10","nd"
"subj23",44,"first-item10-nd-move-a","levý",30774,"item10","nd"
"subj26",44,"first-item10-nd-move-a","pravý",24122,"item10","nd"
"subj30",44,"first-item10-nd-move-a","levý",46698,"item10","nd"
"subj38",44,"first-item10-nd-move-a","levý",20154,"item10","nd"
"subj03",45,"first-item10-nd-move-abar","levý",19712,"item10","nd"
"subj04",45,"first-item10-nd-move-abar","levý",30938,"item10","nd"
"subj07",45,"first-item10-nd-move-abar","levý",47973,"item10","nd"
"subj20",45,"first-item10-nd-move-abar","levý",87444,"item10","nd"
"subj27",45,"first-item10-nd-move-abar","levý",18941,"item10","nd"
"subj31",45,"first-item10-nd-move-abar","levý",56810,"item10","nd"
"subj32",45,"first-item10-nd-move-abar","levý",105978,"item10","nd"
"subj05",42,"first-item10-nd-ref","levý",28475,"item10","nd"
"subj08",42,"first-item10-nd-ref","levý",28829,"item10","nd"
"subj09",42,"first-item10-nd-ref","levý",22601,"item10","nd"
"subj12",42,"first-item10-nd-ref","ani jeden",36326,"item10","nd"
"subj13",42,"first-item10-nd-ref","ani jeden",33387,"item10","nd"
"subj19",42,"first-item10-nd-ref","levý",29494,"item10","nd"
"subj21",42,"first-item10-nd-ref","ani jeden",36124,"item10","nd"
"subj24",42,"first-item10-nd-ref","ani jeden",24627,"item10","nd"
"subj25",42,"first-item10-nd-ref","ani jeden",20863,"item10","nd"
"subj36",42,"first-item10-nd-ref","levý",19583,"item10","nd"
"subj01",43,"first-item10-nd-svo","levý",17529,"item10","nd"
"subj02",43,"first-item10-nd-svo","levý",6382,"item10","nd"
"subj06",43,"first-item10-nd-svo","ani jeden",53008,"item10","nd"
"subj10",43,"first-item10-nd-svo","levý",9922,"item10","nd"
"subj11",43,"first-item10-nd-svo","levý",13379,"item10","nd"
"subj14",43,"first-item10-nd-svo","levý",140946,"item10","nd"
"subj17",43,"first-item10-nd-svo","levý",20752,"item10","nd"
"subj18",43,"first-item10-nd-svo","levý",35159,"item10","nd"
"subj29",43,"first-item10-nd-svo","ani jeden",24912,"item10","nd"
"subj33",43,"first-item10-nd-svo","levý",13759,"item10","nd"
"subj37",43,"first-item10-nd-svo","levý",40303,"item10","nd"
"subj01",48,"first-item11-nd-move-a","levý",7797,"item11","nd"
"subj02",48,"first-item11-nd-move-a","levý",16237,"item11","nd"
"subj06",48,"first-item11-nd-move-a","ani jeden",53216,"item11","nd"
"subj10",48,"first-item11-nd-move-a","levý",18258,"item11","nd"
"subj11",48,"first-item11-nd-move-a","levý",18270,"item11","nd"
"subj14",48,"first-item11-nd-move-a","levý",66838,"item11","nd"
"subj17",48,"first-item11-nd-move-a","levý",32994,"item11","nd"
"subj18",48,"first-item11-nd-move-a","ani jeden",45377,"item11","nd"
"subj29",48,"first-item11-nd-move-a","levý",25584,"item11","nd"
"subj33",48,"first-item11-nd-move-a","levý",19008,"item11","nd"
"subj37",48,"first-item11-nd-move-a","levý",32949,"item11","nd"
"subj22",49,"first-item11-nd-move-abar","levý",23709,"item11","nd"
"subj23",49,"first-item11-nd-move-abar","levý",39809,"item11","nd"
"subj26",49,"first-item11-nd-move-abar","levý",24082,"item11","nd"
"subj30",49,"first-item11-nd-move-abar","levý",43819,"item11","nd"
"subj38",49,"first-item11-nd-move-abar","ani jeden",33814,"item11","nd"
"subj03",46,"first-item11-nd-ref","levý",25583,"item11","nd"
"subj04",46,"first-item11-nd-ref","ani jeden",27120,"item11","nd"
"subj07",46,"first-item11-nd-ref","levý",32853,"item11","nd"
"subj20",46,"first-item11-nd-ref","ani jeden",48454,"item11","nd"
"subj27",46,"first-item11-nd-ref","ani jeden",15170,"item11","nd"
"subj31",46,"first-item11-nd-ref","ani jeden",34487,"item11","nd"
"subj32",46,"first-item11-nd-ref","ani jeden",23443,"item11","nd"
"subj05",47,"first-item11-nd-svo","levý",21258,"item11","nd"
"subj08",47,"first-item11-nd-svo","ani jeden",17174,"item11","nd"
"subj09",47,"first-item11-nd-svo","levý",13115,"item11","nd"
"subj12",47,"first-item11-nd-svo","ani jeden",17899,"item11","nd"
"subj13",47,"first-item11-nd-svo","ani jeden",28778,"item11","nd"
"subj19",47,"first-item11-nd-svo","ani jeden",46050,"item11","nd"
"subj21",47,"first-item11-nd-svo","levý",22486,"item11","nd"
"subj24",47,"first-item11-nd-svo","ani jeden",22959,"item11","nd"
"subj25",47,"first-item11-nd-svo","levý",27119,"item11","nd"
"subj36",47,"first-item11-nd-svo","ani jeden",18213,"item11","nd"
"subj05",52,"first-item12-d-move-a","ani jeden",31772,"item12","d"
"subj08",52,"first-item12-d-move-a","levý",26398,"item12","d"
"subj09",52,"first-item12-d-move-a","levý",135073,"item12","d"
"subj12",52,"first-item12-d-move-a","levý",22127,"item12","d"
"subj13",52,"first-item12-d-move-a","levý",19398,"item12","d"
"subj19",52,"first-item12-d-move-a","levý",34595,"item12","d"
"subj21",52,"first-item12-d-move-a","levý",37805,"item12","d"
"subj24",52,"first-item12-d-move-a","ani jeden",28348,"item12","d"
"subj25",52,"first-item12-d-move-a","levý",30132,"item12","d"
"subj36",52,"first-item12-d-move-a","levý",12839,"item12","d"
"subj01",53,"first-item12-d-move-abar","levý",14961,"item12","d"
"subj02",53,"first-item12-d-move-abar","levý",18740,"item12","d"
"subj06",53,"first-item12-d-move-abar","ani jeden",35560,"item12","d"
"subj10",53,"first-item12-d-move-abar","levý",35219,"item12","d"
"subj11",53,"first-item12-d-move-abar","levý",25250,"item12","d"
"subj14",53,"first-item12-d-move-abar","ani jeden",46898,"item12","d"
"subj17",53,"first-item12-d-move-abar","levý",60668,"item12","d"
"subj18",53,"first-item12-d-move-abar","levý",20104,"item12","d"
"subj29",53,"first-item12-d-move-abar","levý",33185,"item12","d"
"subj33",53,"first-item12-d-move-abar","levý",40437,"item12","d"
"subj37",53,"first-item12-d-move-abar","ani jeden",27531,"item12","d"
"subj22",50,"first-item12-d-ref","levý",18801,"item12","d"
"subj23",50,"first-item12-d-ref","levý",8822,"item12","d"
"subj26",50,"first-item12-d-ref","levý",29711,"item12","d"
"subj30",50,"first-item12-d-ref","levý",49987,"item12","d"
"subj38",50,"first-item12-d-ref","levý",8854,"item12","d"
"subj03",51,"first-item12-d-svo","levý",28525,"item12","d"
"subj04",51,"first-item12-d-svo","levý",68423,"item12","d"
"subj07",51,"first-item12-d-svo","levý",36653,"item12","d"
"subj20",51,"first-item12-d-svo","levý",42885,"item12","d"
"subj27",51,"first-item12-d-svo","levý",5835,"item12","d"
"subj31",51,"first-item12-d-svo","levý",36087,"item12","d"
"subj32",51,"first-item12-d-svo","levý",11769,"item12","d"
"subj03",56,"first-item13-d-move-a","ani jeden",16467,"item13","d"
"subj04",56,"first-item13-d-move-a","ani jeden",26988,"item13","d"
"subj07",56,"first-item13-d-move-a","levý",34912,"item13","d"
"subj20",56,"first-item13-d-move-a","ani jeden",160994,"item13","d"
"subj27",56,"first-item13-d-move-a","levý",15593,"item13","d"
"subj31",56,"first-item13-d-move-a","ani jeden",88167,"item13","d"
"subj32",56,"first-item13-d-move-a","ani jeden",62550,"item13","d"
"subj05",57,"first-item13-d-move-abar","ani jeden",25717,"item13","d"
"subj08",57,"first-item13-d-move-abar","levý",22284,"item13","d"
"subj09",57,"first-item13-d-move-abar","levý",29761,"item13","d"
"subj12",57,"first-item13-d-move-abar","levý",14718,"item13","d"
"subj13",57,"first-item13-d-move-abar","levý",27083,"item13","d"
"subj19",57,"first-item13-d-move-abar","levý",19914,"item13","d"
"subj21",57,"first-item13-d-move-abar","ani jeden",47627,"item13","d"
"subj24",57,"first-item13-d-move-abar","ani jeden",17999,"item13","d"
"subj25",57,"first-item13-d-move-abar","ani jeden",52939,"item13","d"
"subj36",57,"first-item13-d-move-abar","levý",15879,"item13","d"
"subj01",54,"first-item13-d-ref","ani jeden",15551,"item13","d"
"subj02",54,"first-item13-d-ref","levý",3628,"item13","d"
"subj06",54,"first-item13-d-ref","ani jeden",61654,"item13","d"
"subj10",54,"first-item13-d-ref","levý",18793,"item13","d"
"subj11",54,"first-item13-d-ref","ani jeden",27707,"item13","d"
"subj14",54,"first-item13-d-ref","levý",34773,"item13","d"
"subj17",54,"first-item13-d-ref","levý",26922,"item13","d"
"subj18",54,"first-item13-d-ref","levý",28866,"item13","d"
"subj29",54,"first-item13-d-ref","levý",26490,"item13","d"
"subj33",54,"first-item13-d-ref","levý",15693,"item13","d"
"subj37",54,"first-item13-d-ref","levý",29432,"item13","d"
"subj22",55,"first-item13-d-svo","levý",17501,"item13","d"
"subj23",55,"first-item13-d-svo","levý",14526,"item13","d"
"subj26",55,"first-item13-d-svo","levý",33628,"item13","d"
"subj30",55,"first-item13-d-svo","ani jeden",30014,"item13","d"
"subj38",55,"first-item13-d-svo","levý",5284,"item13","d"
"subj22",60,"first-item14-nd-move-a","levý",31646,"item14","nd"
"subj23",60,"first-item14-nd-move-a","ani jeden",12654,"item14","nd"
"subj26",60,"first-item14-nd-move-a","levý",25999,"item14","nd"
"subj30",60,"first-item14-nd-move-a","ani jeden",32010,"item14","nd"
"subj38",60,"first-item14-nd-move-a","levý",126555,"item14","nd"
"subj03",61,"first-item14-nd-move-abar","levý",10586,"item14","nd"
"subj04",61,"first-item14-nd-move-abar","levý",20458,"item14","nd"
"subj07",61,"first-item14-nd-move-abar","levý",34991,"item14","nd"
"subj20",61,"first-item14-nd-move-abar","levý",42256,"item14","nd"
"subj27",61,"first-item14-nd-move-abar","ani jeden",17299,"item14","nd"
"subj31",61,"first-item14-nd-move-abar","levý",160535,"item14","nd"
"subj32",61,"first-item14-nd-move-abar","levý",26502,"item14","nd"
"subj05",58,"first-item14-nd-ref","ani jeden",36423,"item14","nd"
"subj08",58,"first-item14-nd-ref","levý",24170,"item14","nd"
"subj09",58,"first-item14-nd-ref","levý",23381,"item14","nd"
"subj12",58,"first-item14-nd-ref","ani jeden",23276,"item14","nd"
"subj13",58,"first-item14-nd-ref","levý",20618,"item14","nd"
"subj19",58,"first-item14-nd-ref","levý",22842,"item14","nd"
"subj21",58,"first-item14-nd-ref","levý",19778,"item14","nd"
"subj24",58,"first-item14-nd-ref","levý",27615,"item14","nd"
"subj25",58,"first-item14-nd-ref","ani jeden",37815,"item14","nd"
"subj36",58,"first-item14-nd-ref","ani jeden",20505,"item14","nd"
"subj01",59,"first-item14-nd-svo","levý",30733,"item14","nd"
"subj02",59,"first-item14-nd-svo","levý",6687,"item14","nd"
"subj06",59,"first-item14-nd-svo","ani jeden",29118,"item14","nd"
"subj10",59,"first-item14-nd-svo","levý",35669,"item14","nd"
"subj11",59,"first-item14-nd-svo","levý",9097,"item14","nd"
"subj14",59,"first-item14-nd-svo","ani jeden",22379,"item14","nd"
"subj17",59,"first-item14-nd-svo","levý",17395,"item14","nd"
"subj18",59,"first-item14-nd-svo","levý",25064,"item14","nd"
"subj29",59,"first-item14-nd-svo","levý",17706,"item14","nd"
"subj33",59,"first-item14-nd-svo","levý",23665,"item14","nd"
"subj37",59,"first-item14-nd-svo","levý",27966,"item14","nd"
"subj01",64,"first-item15-d-move-a","levý",52891,"item15","d"
"subj02",64,"first-item15-d-move-a","pravý",17620,"item15","d"
"subj06",64,"first-item15-d-move-a","ani jeden",104883,"item15","d"
"subj10",64,"first-item15-d-move-a","pravý",15791,"item15","d"
"subj11",64,"first-item15-d-move-a","pravý",34815,"item15","d"
"subj14",64,"first-item15-d-move-a","ani jeden",44375,"item15","d"
"subj17",64,"first-item15-d-move-a","ani jeden",79240,"item15","d"
"subj18",64,"first-item15-d-move-a","pravý",92529,"item15","d"
"subj29",64,"first-item15-d-move-a","ani jeden",35894,"item15","d"
"subj33",64,"first-item15-d-move-a","ani jeden",34880,"item15","d"
"subj37",64,"first-item15-d-move-a","ani jeden",19785,"item15","d"
"subj22",65,"first-item15-d-move-abar","pravý",39082,"item15","d"
"subj23",65,"first-item15-d-move-abar","pravý",59051,"item15","d"
"subj26",65,"first-item15-d-move-abar","pravý",23688,"item15","d"
"subj30",65,"first-item15-d-move-abar","pravý",46348,"item15","d"
"subj38",65,"first-item15-d-move-abar","pravý",49180,"item15","d"
"subj03",62,"first-item15-d-ref","ani jeden",16383,"item15","d"
"subj04",62,"first-item15-d-ref","levý",24821,"item15","d"
"subj07",62,"first-item15-d-ref","levý",30906,"item15","d"
"subj20",62,"first-item15-d-ref","ani jeden",63371,"item15","d"
"subj27",62,"first-item15-d-ref","levý",19440,"item15","d"
"subj31",62,"first-item15-d-ref","ani jeden",128977,"item15","d"
"subj32",62,"first-item15-d-ref","ani jeden",24007,"item15","d"
"subj05",63,"first-item15-d-svo","pravý",24817,"item15","d"
"subj08",63,"first-item15-d-svo","levý",25986,"item15","d"
"subj09",63,"first-item15-d-svo","ani jeden",374730,"item15","d"
"subj12",63,"first-item15-d-svo","levý",22888,"item15","d"
"subj13",63,"first-item15-d-svo","ani jeden",54254,"item15","d"
"subj19",63,"first-item15-d-svo","pravý",116018,"item15","d"
"subj21",63,"first-item15-d-svo","levý",105399,"item15","d"
"subj24",63,"first-item15-d-svo","pravý",49146,"item15","d"
"subj25",63,"first-item15-d-svo","pravý",22636,"item15","d"
"subj36",63,"first-item15-d-svo","levý",12357,"item15","d"
"subj05",68,"first-item16-nd-move-a","levý",9277,"item16","nd"
"subj08",68,"first-item16-nd-move-a","levý",10986,"item16","nd"
"subj09",68,"first-item16-nd-move-a","levý",28742,"item16","nd"
"subj12",68,"first-item16-nd-move-a","ani jeden",12714,"item16","nd"
"subj13",68,"first-item16-nd-move-a","levý",14345,"item16","nd"
"subj19",68,"first-item16-nd-move-a","levý",21024,"item16","nd"
"subj21",68,"first-item16-nd-move-a","levý",17602,"item16","nd"
"subj24",68,"first-item16-nd-move-a","levý",16016,"item16","nd"
"subj25",68,"first-item16-nd-move-a","levý",18296,"item16","nd"
"subj36",68,"first-item16-nd-move-a","levý",16141,"item16","nd"
"subj01",69,"first-item16-nd-move-abar","levý",12462,"item16","nd"
"subj02",69,"first-item16-nd-move-abar","levý",7900,"item16","nd"
"subj06",69,"first-item16-nd-move-abar","levý",54765,"item16","nd"
"subj10",69,"first-item16-nd-move-abar","levý",10542,"item16","nd"
"subj11",69,"first-item16-nd-move-abar","levý",18916,"item16","nd"
"subj14",69,"first-item16-nd-move-abar","levý",35199,"item16","nd"
"subj17",69,"first-item16-nd-move-abar","levý",30978,"item16","nd"
"subj18",69,"first-item16-nd-move-abar","levý",17527,"item16","nd"
"subj29",69,"first-item16-nd-move-abar","levý",23823,"item16","nd"
"subj33",69,"first-item16-nd-move-abar","levý",18709,"item16","nd"
"subj37",69,"first-item16-nd-move-abar","levý",144877,"item16","nd"
"subj22",66,"first-item16-nd-ref","levý",17262,"item16","nd"
"subj23",66,"first-item16-nd-ref","levý",21359,"item16","nd"
"subj26",66,"first-item16-nd-ref","levý",36570,"item16","nd"
"subj30",66,"first-item16-nd-ref","levý",36967,"item16","nd"
"subj38",66,"first-item16-nd-ref","levý",7679,"item16","nd"
"subj03",67,"first-item16-nd-svo","levý",6764,"item16","nd"
"subj04",67,"first-item16-nd-svo","levý",22838,"item16","nd"
"subj07",67,"first-item16-nd-svo","pravý",14222,"item16","nd"
"subj20",67,"first-item16-nd-svo","levý",38788,"item16","nd"
